"id","Expense_id","Expense_particular","Party","Total_amount","Paid_amount","Due_amount","Payment_date","Created_at","Updated_at"
44,2,"Serviettes Purchase","Mamken Shop",100,100,0,"2022-03-14","2022-03-14 10:06:34",NULL
45,5,"Vegetables Stock Purchase","Market",1430,1430,0,"2022-03-15","2022-03-15 06:35:55",NULL
46,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",16400,16400,0,"2022-03-15","2022-03-15 06:37:42",NULL
47,2,"Maize Flour Purchase","Mamken Shop",130,130,0,"2022-03-15","2022-03-15 07:22:30",NULL
48,2,"Eggs Purchase","Mamken Shop",56,56,0,"2022-03-15","2022-03-15 07:23:46",NULL
49,2,"Thermal Printer Rolls Purchase","Officemart Bookshop",560,560,0,"2022-03-15","2022-03-15 12:21:17",NULL
50,2,"Agita Purchase","Agrovet (Town)",300,300,0,"2022-03-15","2022-03-15 12:21:49",NULL
51,2,"Petty Cash","Sam",2500,2500,0,"2022-03-16","2022-03-15 22:16:57",NULL
52,5,"Vegetables Stock Purchase","Market",485,485,0,"2022-03-17","2022-03-17 05:58:54",NULL
53,3,"water bill","great wall",1000,1000,0,"2022-03-17","2022-03-17 09:25:22",NULL
54,2,"Salt Purchase","Mamken Shop",40,40,0,"2022-03-17","2022-03-17 12:14:13",NULL
55,2,"Cooking Oil Purchase","Mamken Shop",720,720,0,"2022-03-17","2022-03-17 12:15:11",NULL
56,5,"Vegetables Stock Purchase","Market",870,870,0,"2022-03-18","2022-03-18 06:54:21",NULL
57,2,"Hand gloves Purchase","Chandarana Foodplus",109,109,0,"2022-03-18","2022-03-18 13:42:29",NULL
58,5,"Vegetables Stock Purchase","Market",0,0,0,"2022-03-19","2022-03-19 07:12:48",NULL
59,2,"Tomatoes","Huho Farm",750,750,0,"2022-03-19","2022-03-19 07:15:00",NULL
60,5,"Bonesaw replacement","Nairobi Kitchen Care",5800,5800,0,"2022-03-19","2022-03-19 07:16:10",NULL
61,2,"Maize Flour Purchase","Maya Mini Mart",150,150,0,"2022-03-19","2022-03-19 08:09:46",NULL
62,1,"Fuel for business errands","Shell Petrol Station",1000,1000,0,"2022-03-19","2022-03-19 10:07:18",NULL
63,2,"Bar Soap Purchase","Mamken Shop",35,35,0,"2022-03-19","2022-03-19 12:18:17",NULL
64,4,"Butcher Advance Salary (April)","Morris",500,500,0,"2022-03-19","2022-03-19 13:49:26",NULL
65,2,"Powder Soap Purchase","Mamken Shop",50,50,0,"2022-03-20","2022-03-20 10:14:24",NULL
66,3,"Electricity","Kenya Power",2000,2000,0,"2022-03-20","2022-03-20 10:14:50",NULL
67,2,"Business Permit","Machakos County Government",8500,8500,0,"2022-01-10","2022-03-20 10:56:27",NULL
68,2,"Fire Certificate Flash Fee","Machakos County Government",4000,4000,0,"2022-01-10","2022-03-20 10:57:32",NULL
69,2,"Public Health Fees","Machakos County Government",1500,1500,0,"2022-01-10","2022-03-20 10:58:24",NULL
70,2,"Internet Payment","Kemnet Technologies",2499,2499,0,"2022-03-21","2022-03-21 03:39:44",NULL
71,1,"Fare to and from town (sam)","Matatu",140,140,0,"2022-03-21","2022-03-21 03:40:49",NULL
72,2,"Packaging Punnets Purchase","Asami Limited",1175,1175,0,"2022-03-21","2022-03-21 03:51:45",NULL
73,5,"Vegetables Stock Purchase","Market",540,540,0,"2022-03-21","2022-03-21 05:59:59",NULL
74,1,"Fuel for business errands","Texas Energies",1000,1000,0,"2022-03-21","2022-03-21 06:00:37",NULL
75,5,"Vegetables Stock Purchase","Huho Farm",3450,3450,0,"2022-03-21","2022-03-21 13:30:28",NULL
76,1,"Vegetables Stock Delivery","Zakayo",350,350,0,"2022-03-21","2022-03-21 13:31:12",NULL
77,1,"Motorbike Fare","Pikipiki",500,500,0,"2022-03-22","2022-03-22 05:03:04",NULL
78,1,"Fuel for business errands","Texas Energies",1300,1300,0,"2022-03-22","2022-03-22 05:03:36",NULL
79,6,"Workers Heath Certificates","Machakos County Government",3200,3200,0,"2022-03-22","2022-03-22 05:05:06",NULL
80,5,"Vegetables Stock Purchase","Market",250,250,0,"2022-03-22","2022-03-22 07:21:12",NULL
81,2,"Health licences lamination","Cyber",100,100,0,"2022-03-22","2022-03-22 07:22:23",NULL
82,1,"Chicken Supply Delivery","Pikipiki",400,400,0,"2022-03-23","2022-03-23 08:10:17",NULL
83,5,"Chicken Supply","Nduta (Donholm)",15800,15800,0,"2022-03-23","2022-03-23 08:11:17",NULL
84,1,"Fuel for business errands","Total Energies",1000,1000,0,"2022-03-23","2022-03-23 08:12:12",NULL
85,2,"Knives Sharpening","Knife Sharpener",90,90,0,"2022-03-23","2022-03-23 08:12:39",NULL
86,2,"Bar Soap Purchase","Mamken Shop",50,50,0,"2022-03-23","2022-03-23 12:54:09",NULL
87,2,"Washing Powder Purchase","Mamken Shop",55,55,0,"2022-03-23","2022-03-23 12:54:57",NULL
88,1,"Fare to and from MARKET","Matatu",40,40,0,"2022-03-24","2022-03-24 05:53:34",NULL
89,5,"Vegetables Stock Purchase","Market",340,340,0,"2022-03-24","2022-03-24 05:54:16",NULL
91,2,"Cooking Oil Purchase","Mamken Shop",720,720,0,"2022-03-24","2022-03-24 12:53:55",NULL
92,1,"Fuel for business errands","Rubis Petrol Station",1000,1000,0,"2022-03-25","2022-03-25 00:06:33",NULL
93,5,"Fish Stock Purchase","Victory Farms",1690,1690,0,"2022-03-25","2022-03-25 08:10:38",NULL
94,5,"Vegetables Stock Purchase","Huho Farm",4600,4600,0,"2022-03-25","2022-03-25 08:28:22",NULL
95,1,"Fuel","Total Energies",1000,1000,0,"2022-03-26","2022-03-26 00:37:01",NULL
96,5,"Vegetables Stock Purchase","Market",430,430,0,"2022-03-26","2022-03-26 06:25:51",NULL
97,1,"Fare to and from MARKET","Matatu",40,40,0,"2022-03-26","2022-03-26 06:26:17",NULL
98,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",7200,7200,0,"2022-03-26","2022-03-26 08:16:26",NULL
99,5,"Liver Supply","Masaku Standard Meat Suppliers",1200,1200,0,"2022-03-26","2022-03-26 08:17:28",NULL
100,2,"Maize Flour Purchase","Mamken Shop",130,130,0,"2022-03-26","2022-03-26 11:30:20",NULL
101,2,"Excercise Book Purchase","Mamken Shop",60,60,0,"2022-03-27","2022-03-27 09:50:33",NULL
102,5,"Meat, Liver, Matumbo Supply","Masaku Standard Meat Suppliers",17650,17650,0,"2022-03-27","2022-03-27 10:09:01",NULL
103,4,"Butcher Salary","Morris",4000,4000,0,"2022-03-28","2022-03-28 00:32:55",NULL
104,4,"Cashier Salary","Truphosa",6000,6000,0,"2022-03-28","2022-03-28 00:33:39",NULL
105,2,"Brown bags purchase","Asami Limited",680,680,0,"2022-03-28","2022-03-28 08:22:29",NULL
106,1,"Fare to and from town (sam)","Matatu",200,200,0,"2022-03-28","2022-03-28 08:40:44",NULL
107,5,"Vegetables Stock Purchase","Market",630,630,0,"2022-03-28","2022-03-28 08:42:05",NULL
109,2,"Bar Soap & Powder Soap Purchase","Mamken Shop",80,80,0,"2022-03-28","2022-03-28 12:56:39",NULL
110,3,"Electricity","great wall",2000,2000,0,"2022-03-28","2022-03-28 13:32:46",NULL
111,5,"Chicken Supply","Sympha Farm",18450,18450,0,"2022-03-29","2022-03-29 00:28:15",NULL
112,2,"Cling Film Purchase","Mamken Shop",100,100,0,"2022-03-29","2022-03-29 02:10:29",NULL
115,2,"Glass cleaner purchase","Chandarana Foodplus",175,175,0,"2022-03-29","2022-03-29 11:10:05",NULL
116,2,"Stainless Steel Cleaner","Chandarana Foodplus",450,450,0,"2022-03-29","2022-03-29 11:10:43",NULL
117,2,"Cling Film Purchase","Chandarana Foodplus",1090,1090,0,"2022-03-29","2022-03-29 11:11:15",NULL
118,2,"Manilla Paper and marker pen","Beracah Supermarket",100,100,0,"2022-03-29","2022-03-29 12:54:58",NULL
119,5,"Steak Purchase","Phase one seller",1500,1500,0,"2022-03-29","2022-03-29 12:56:43",NULL
120,5,"Vegetables Stock Purchase","Market",890,890,0,"2022-03-29","2022-03-29 13:00:13",NULL
121,2,"Gas Purchase","Gas supplier",3000,3000,0,"2022-03-29","2022-03-29 13:01:24",NULL
122,5,"Onions Purchase","Huho Farm",1600,1600,0,"2022-03-30","2022-03-30 02:29:55",NULL
123,5,"Onions and Vegetables Purchase","Huho Farm",1600,1600,0,"2022-03-30","2022-03-30 05:48:25",NULL
124,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",37600,37600,0,"2022-03-30","2022-03-30 05:54:38",NULL
125,1,"Onions and Purchase Delivery","Zakayo",350,350,0,"2022-03-30","2022-03-30 05:56:36",NULL
126,2,"Cooking Oil Purchase","Mamken Shop",720,720,0,"2022-03-30","2022-03-30 13:42:26",NULL
127,2,"Washing Powder Purchase","Jaysha Shop",60,60,0,"2022-03-30","2022-03-30 14:38:14",NULL
128,2,"Jik Purchase","Chandarana Foodplus",250,250,0,"2022-03-31","2022-03-31 03:19:02",NULL
129,2,"Floor Moper Purchase","Chandarana Foodplus",340,340,0,"2022-03-31","2022-03-31 03:19:49",NULL
130,5,"Fish Stock Purchase","Victory Farms",4761,4761,0,"2022-04-01","2022-04-01 03:50:29",NULL
131,5,"Sukuma wiki supply","Market",100,100,0,"2022-04-01","2022-04-01 07:35:26",NULL
132,2,"Eggs Purchase","Mamken Shop",30,30,0,"2022-04-01","2022-04-01 07:36:56",NULL
133,5,"Vegetables Stock Purchase","Market",6205,6205,0,"2022-04-02","2022-04-02 12:47:48",NULL
134,2,"Electrician Expense","Greatwall",100,100,0,"2022-04-02","2022-04-02 13:51:25",NULL
135,2,"Maize Flour Purchase","Mamken Shop",130,130,0,"2022-04-03","2022-04-03 07:23:18",NULL
136,2,"Cellotape purchase","Damao Minimart",50,50,0,"2022-04-04","2022-04-04 03:13:52",NULL
137,2,"Salt Purchase","Mamken Shop",40,40,0,"2022-04-04","2022-04-04 05:12:47",NULL
138,5,"Vegetables Stock Purchase","Market",2400,2400,0,"2022-04-04","2022-04-04 05:38:46",NULL
139,4,"Toti Payment","Toti",1000,1000,0,"2022-04-04","2022-04-04 05:39:23",NULL
140,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",18000,18000,0,"2022-04-04","2022-04-04 05:43:24",NULL
141,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",28300,28300,0,"2022-04-04","2022-04-04 05:43:58",NULL
142,5,"Liver Purchase","Meat King Phase 2",620,620,0,"2022-04-04","2022-04-04 06:28:52",NULL
143,5,"Fish Stock Purchase","Victory Farms",3485,3485,0,"2022-04-04","2022-04-04 06:55:00",NULL
144,5,"Vegetables Stock Purchase","Market",3450,3450,0,"2022-04-05","2022-04-05 05:31:11",NULL
145,2,"Packaging material purchase","Asami Limited",2215,2215,0,"2022-04-05","2022-04-05 11:35:01",NULL
146,5,"Liver Purchase","Masaku Standard Meat Suppliers",2000,2000,0,"2022-04-05","2022-04-05 12:29:05",NULL
147,3,"Electricity","Greatwall",2000,2000,0,"2022-04-05","2022-04-05 12:29:41",NULL
148,5,"Fish Stock Purchase","Victory Farms",2858,2858,0,"2022-04-06","2022-04-06 02:31:20",NULL
149,2,"Knives Sharpening","Knife Sharpener",90,90,0,"2022-04-06","2022-04-06 02:58:06",NULL
150,2,"Bar Soap Purchase","Mamken Shop",55,55,0,"2022-04-06","2022-04-06 02:59:23",NULL
151,5,"Vegetables Stock Purchase","Huho Farm",2400,2400,0,"2022-04-06","2022-04-06 06:24:12",NULL
152,5,"Vegetables Stock Delivery","Zakayo",350,350,0,"2022-04-06","2022-04-06 06:25:08",NULL
153,2,"Cellotape purchase","Damao Minimart",50,50,0,"2022-04-07","2022-04-07 02:52:44",NULL
154,2,"Cooking Oil Purchase","Mamken Shop",340,340,0,"2022-04-07","2022-04-07 02:53:46",NULL
155,5,"Fish Stock Purchase","Victory Farms",3464,3464,0,"2022-04-07","2022-04-07 02:54:34",NULL
156,5,"Vegetables Stock Purchase","Market",1050,1050,0,"2022-04-07","2022-04-07 08:29:27",NULL
157,2,"Cooking Oil Purchase","Better Deals Wholesaler",2850,2850,0,"2022-04-07","2022-04-07 08:30:44",NULL
158,1,"Fish Purchase Delivery Expense","Pikipiki Rider",150,150,0,"2022-04-07","2022-04-07 09:10:41",NULL
159,5,"Fish Stock Purchase","Victory Farms",2963,2963,0,"2022-04-07","2022-04-07 09:35:23",NULL
161,5,"Avocado Purchase","Hass Avocado Seller GW3",45,45,0,"2022-04-07","2022-04-07 14:34:01",NULL
162,1,"Chicken Supply Delivery (From farm)","Pikipiki Rider",500,500,0,"2022-04-08","2022-04-08 03:00:18",NULL
163,2,"Gloves purchase","Chandarana Foodplus",109,109,0,"2022-04-09","2022-04-09 09:08:42",NULL
164,5,"Vegetables Stock Purchase","Market",980,980,0,"2022-04-09","2022-04-09 09:13:26",NULL
165,2,"Gas Purchase","Damao Minimart",3000,3000,0,"2022-04-10","2022-04-10 13:00:53",NULL
166,3,"Greatwall Service charge","Greatwall Gardens",9000,9000,0,"2022-04-11","2022-04-11 10:22:22",NULL
167,2,"Web Domain Charge","Hostgator",2059,2059,0,"2022-04-04","2022-04-11 10:24:49",NULL
168,5,"Tree Tomato Purchase","Margaret Wachira (Delta neighbour)",500,500,0,"2022-04-11","2022-04-11 10:26:48",NULL
169,5,"Tomatoes and Cayenne Chili expense","Margaret Wachira (Delta neighbour)",2160,2160,0,"2022-04-11","2022-04-11 10:29:10",NULL
170,5,"Vegetables Stock Purchase","Market",2700,2700,0,"2022-04-11","2022-04-11 10:30:57",NULL
171,5,"Fish Stock Purchase","Victory Farms",9598,9598,0,"2022-04-11","2022-04-11 10:31:34",NULL
172,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",19000,19000,0,"2022-04-11","2022-04-11 10:32:29",NULL
173,5,"Steak purchase","GW1 steak seller",2000,2000,0,"2022-04-11","2022-04-11 11:31:06",NULL
174,1,"Fish Purchase Delivery Expense","Pikipiki Rider",150,150,0,"2022-04-11","2022-04-11 13:22:14",NULL
175,3,"Water bill ","Greatwall Gardens",2000,2000,0,"2022-04-12","2022-04-12 05:22:18",NULL
176,1,"Chicken Supply Delivery","Pikipiki Rider",350,350,0,"2022-04-12","2022-04-12 05:23:12",NULL
177,1,"Onions supply delivery","Pikipiki Rider",350,350,0,"2022-04-12","2022-04-12 05:23:45",NULL
178,2,"Packaging material purchase","Packaging deliverer",1000,1000,0,"2022-04-12","2022-04-12 05:24:16",NULL
179,2,"Bonesaw blade replacement","Schola (Local Dealer)",2700,2700,0,"2022-04-13","2022-04-13 07:10:51",NULL
180,5,"Vegetables Stock Purchase","Market",860,860,0,"2022-04-13","2022-04-13 07:12:26",NULL
183,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",15600,15600,0,"2022-04-13","2022-04-13 15:47:24",NULL
184,5,"Tomatoes supplies","Margaret Wachira (Delta neighbour)",1800,1800,0,"2022-04-13","2022-04-13 15:50:22",NULL
185,3,"Electricity","Greatwall",2000,2000,0,"2022-04-14","2022-04-14 11:38:07",NULL
186,5,"Vegetables Stock Purchase","Market",1500,1500,0,"2022-04-14","2022-04-14 12:15:31",NULL
187,2,"Bar Soap Purchase","Mamken Shop",50,50,0,"2022-04-15","2022-04-15 13:43:15",NULL
188,5,"Fish Stock Purchase","Victory Farms",10000,10000,0,"2022-04-15","2022-04-15 13:43:48",NULL
189,5,"Vegetables Stock Purchase","Market",1200,1200,0,"2022-04-15","2022-04-15 13:44:32",NULL
190,5,"Onions Purchase","Huho Farm",4000,4000,0,"2022-04-15","2022-04-15 13:45:27",NULL
191,1,"Onions Purchase Delivery","Pikipiki Rider",350,350,0,"2022-04-15","2022-04-15 13:46:11",NULL
192,5,"Goat Meat Supply","Empuris Butchery",6000,6000,0,"2022-04-15","2022-04-15 13:47:36",NULL
193,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",24600,24600,0,"2022-04-15","2022-04-15 13:48:24",NULL
194,1,"Fuel for business errands","Rubis Petrol Station",1000,1000,0,"2022-04-16","2022-04-16 07:23:38",NULL
195,5,"Vegetables Stock Purchase","Market and Lucky Farm",1940,1940,0,"2022-04-16","2022-04-16 07:24:42",NULL
196,2,"Maize Flour Purchase","Mamken Shop",75,75,0,"2022-04-16","2022-04-16 07:25:25",NULL
197,5,"Steak Purchase","Steak Seller GW1 ",500,500,0,"2022-04-16","2022-04-16 09:46:30",NULL
198,2,"Salt Purchase","Mamken Shop",40,40,0,"2022-04-16","2022-04-16 11:52:40",NULL
199,2,"Royce Purchase","Mamken Shop",18,18,0,"2022-04-17","2022-04-17 07:15:22",NULL
200,2,"Maize Flour Purchase","Mamken Shop",75,75,0,"2022-04-17","2022-04-17 07:16:21",NULL
201,2,"Tomatoes purchase","Market",20,20,0,"2022-04-17","2022-04-17 07:20:32",NULL
202,5,"Plantain Purchase","Quickmart Supermarket",1400,1400,0,"2022-04-17","2022-04-17 07:48:54",NULL
203,2,"Packaging Material Purchase","Asami Limited",2860,2860,0,"2022-04-20","2022-04-20 13:43:20",NULL
204,1,"Vegetables Stock Transport","Matatu and Pikipiki",500,500,0,"2022-04-20","2022-04-20 13:53:02",NULL
205,5,"Vegetables Stock Purchase","Market",500,500,0,"2022-04-20","2022-04-20 13:54:29",NULL
206,2,"Maize Flour Purchase","Mamken Shop",140,140,0,"2022-04-20","2022-04-20 13:57:08",NULL
207,2,"Washing Powder Purchase","Mamken Shop",50,50,0,"2022-04-20","2022-04-20 13:57:27",NULL
208,2,"Pen Purchase","Mamken Shop",10,10,0,"2022-04-18","2022-04-20 13:59:55",NULL
209,2,"Knives Sharpening","Knife Sharpener",90,90,0,"2022-04-18","2022-04-20 14:01:05",NULL
210,5,"Fish Stock Purchase","Victory Farms",2516,2516,0,"2022-04-18","2022-04-20 14:01:47",NULL
211,2,"Airtime Purchase","Safaricom",500,500,0,"2022-04-20","2022-04-20 14:03:51",NULL
213,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",28350,28350,0,"2022-04-20","2022-04-20 14:07:06",NULL
214,5,"Vegetables Stock Purchase","Market",2050,2050,0,"2022-04-20","2022-04-20 14:09:25",NULL
215,5,"Vegetables Stock Purchase","Market",230,230,0,"2022-04-20","2022-04-20 14:38:57",NULL
216,2,"Stationery Purchase","Textbook Center",670,670,0,"2022-04-15","2022-04-20 14:40:06",NULL
217,5,"Chicken Supply","Sympha Farm",68400,68400,0,"2022-04-13","2022-04-20 23:45:16",NULL
218,5,"Chicken Supply","Sympha Farm",81000,81000,0,"2022-04-12","2022-04-20 23:46:42",NULL
219,5,"Vegetables Stock Purchase","Market",980,980,0,"2022-04-21","2022-04-20 23:55:58",NULL
220,4,"Toti Payment","Toti",1000,1000,0,"2022-04-21","2022-04-21 02:33:18",NULL
221,1,"Cynthia pikipiki fare to shop","Pikipiki Rider",150,150,0,"2022-04-21","2022-04-21 05:09:01",NULL
222,2,"Cooking Oil Purchase","Mamken Shop",380,380,0,"2022-04-21","2022-04-21 09:18:52",NULL
223,5,"Fish Stock Purchase","Victory Farms",5094,5094,0,"2022-04-21","2022-04-21 09:20:18",NULL
224,1,"Chicken Supply Delivery","Pikipiki Rider",400,400,0,"2022-04-21","2022-04-21 11:50:47",NULL
225,2,"Internet Monthly Bill","Kemnet",2499,2499,0,"2022-04-21","2022-04-21 11:53:46",NULL
226,2,"Packaging material purchase","Packaging deliverer",300,300,0,"2022-04-21","2022-04-21 12:29:54",NULL
227,6,"Fish Stock Purchase","Victory Farms",2580,2580,0,"2022-04-22","2022-04-22 09:57:28",NULL
228,5,"Goat Meat Supply","Tupet",5500,5500,0,"2022-04-22","2022-04-22 09:59:48",NULL
229,5,"Vegetables Stock Purchase","Market",1130,1130,0,"2022-04-22","2022-04-22 10:01:15",NULL
230,5,"Vegetables Stock Purchase","Market",500,500,0,"2022-04-22","2022-04-22 10:01:49",NULL
231,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",8000,8000,0,"2022-04-22","2022-04-22 12:48:09",NULL
232,4,"Morris Advance Salary","Morris",1000,1000,0,"2022-04-23","2022-04-23 13:19:47",NULL
233,2,"Serviettes Purchase","Mamken Shop",100,100,0,"2022-04-23","2022-04-23 13:22:12",NULL
234,5,"Okra Purchase","Market",150,150,0,"2022-04-23","2022-04-23 13:31:18",NULL
235,2,"Match box purchase","Mamken Shop",5,5,0,"2022-04-23","2022-04-25 06:33:21",NULL
236,5,"Fish Stock Purchase","Victory Farms",5006,5006,0,"2022-04-25","2022-04-25 06:38:47",NULL
237,5,"Vegetables Stock Purchase","Market",3200,3200,0,"2022-04-25","2022-04-25 06:39:13",NULL
238,5,"Liver Purchase","Masaku Standard Meat Suppliers",2400,2400,0,"2022-04-25","2022-04-25 06:40:07",NULL
239,1,"Fuel","Total Energies",2000,2000,0,"2022-04-26","2022-04-26 02:21:28",NULL
240,5,"Plantain Purchase","Quickmart",1093,1093,0,"2022-04-27","2022-04-27 05:47:23",NULL
241,2,"Pen purchase","Mamken Shop",20,20,0,"2022-04-26","2022-04-27 05:52:13",NULL
242,2,"Fuel","Total Energies",1000,1000,0,"2022-04-26","2022-04-27 05:53:16",NULL
243,5,"Vegetables Stock Purchase","Market",1650,1650,0,"2022-04-26","2022-04-27 05:55:04",NULL
244,1,"Vegetables Delivery Expense","Market",200,200,0,"2022-04-26","2022-04-27 05:56:03",NULL
245,1,"Chicken delivery expense","Pikipiki Rider",400,400,0,"2022-04-26","2022-04-27 05:57:47",NULL
246,5,"Liver Purchase","Masaku Standard Meat Suppliers",2400,2400,0,"2022-04-26","2022-04-27 06:00:19",NULL
248,5,"Meat Stock Purchase","Market",1500,1500,0,"2022-04-26","2022-04-27 06:02:30",NULL
250,5,"Vegetables Stock Purchase","Market",850,850,0,"2022-04-27","2022-04-27 06:04:04",NULL
251,5,"Fish Stock Purchase","Victory Farms",5072,5072,0,"2022-04-27","2022-04-27 06:06:29",NULL
252,5,"Meat Stock Purchase","Masaku Standard Meat Suppliers",20600,20600,0,"2022-04-27","2022-04-27 06:09:12",NULL
253,3,"Electricity","Greatwall Gardens",2000,2000,0,"2022-04-26","2022-04-27 10:38:46",NULL
254,2,"Bar Soap Purchase","Jaysha Shop",60,60,0,"2022-04-27","2022-04-27 11:39:04",NULL
255,2,"Tissue Purchase","Mamken Shop",50,50,0,"2022-04-28","2022-04-28 03:40:04",NULL
256,5,"Plantain Purchase","Quickmart",1138,1138,0,"2022-04-28","2022-04-28 03:40:38",NULL
257,3,"Water bill ","Greatwall Gardens",2000,2000,0,"2022-04-28","2022-04-28 05:09:49",NULL
258,5,"Vegetables Stock Purchase","Market",1500,1500,0,"2022-04-29","2022-04-30 15:15:06",NULL
259,1,"vegetable delivery purchase expense","Market",200,200,0,"2022-04-29","2022-04-30 15:16:46",NULL
260,5,"Vegetables Stock Purchase","Market",1215,1215,0,"2022-04-29","2022-04-30 15:21:08",NULL
261,1,"Vegetables Stock Purchase","Market",400,400,0,"2022-04-29","2022-05-01 03:14:24",NULL
262,5,"Fish Stock Purchase","Victory Farms",7045,7045,0,"2022-04-29","2022-05-01 03:15:28",NULL
